Comment,Designator,Footprint,LCSC Part #
"Conn_01x04_Pin","BLUETOOTH1","PinSocket_1x04_P2.54mm_Vertical","C22438154"
"10u","C1","C0805","C15850"
"10u","C2","C0805","C15850"
"10u","C3","C0805","C15850"
"10u","C4","C0805","C15850"
"10u","C5","C0805","C15850"
"10u","C6","C0805","C15850"
"10u","C7","C0805","C15850"
"10u","C8","C0805","C15850"
"10u","C9","C0805","C15850"
"10u","C10","C0805","C15850"
"100n","C11","C0603","C14663"
"10n","C12","C0603","C57112"
"10n","C13","C0603","C57112"
"10u","C14","C0805","C15850"
"10u","C15","C0805","C15850"
"10u","C16","C0805","C15850"
"10u","C17","C0805","C15850"
"10u","C18","C0805","C15850"
"10u","C19","C0805","C15850"
"10u","C20","C0805","C15850"
"10u","C21","C0805","C15850"
"10u","C22","C0805","C15850"
"10u","C23","C0805","C15850"
"100n","C24","C0603","C14663"
"10n","C25","C0603","C57112"
"10n","C26","C0603","C57112"
"100n","C27","C0603","C14663"
"10n","C28","C0603","C57112"
"100n","C29","C0603","C14663"
"10n","C30","C0603","C57112"
"100n","C31","C0603","C14663"
"1u","C32","C0603","C15849"
"Module:can/0.1","CAN1","can",""
"B5819W","D2","SOD-123","C8598"
"B5819W","D3","SOD-123","C8598"
"B5819W","D4","SOD-123","C8598"
"B5819W","D5","SOD-123","C8598"
"NUP2105L","D8","SOT-23","C284104"
"12H1500D","F1","PAD-1206-PAD","C182446"
"12H1500D","F2","PAD-1206-PAD","C182446"
"12H1500D","F3","PAD-1206-PAD","C182446"
"12H1500D","F4","PAD-1206-PAD","C182446"
"50mA","F5","Fuse_0603_1608Metric","C369141"
"50mA","F6","Fuse_0603_1608Metric","C369141"
"50mA","F7","Fuse_0603_1608Metric","C369141"
"50mA","F8","Fuse_0603_1608Metric","C369141"
"50mA","F9","Fuse_0603_1608Metric","C369141"
"50mA","F10","Fuse_0603_1608Metric","C369141"
"470R@100MHz","L1","L_0603_1608Metric","C97853"
"470R@100MHz","L2","L_0603_1608Metric","C97853"
"Module:power_12and5V/0.2","M1","power_12and5V",""
"Module:knock/0.2","M2","knock",""
"Module:vr-max9924/0.1","M4","vr-max9924",""
"MPXH6400A","MAP1","MPXH6400A-SSOP8","C511770"
"Module:mega-mcu100/0.3","MCU1","mega-mcu100",""
"33k","R2","R0603","C4216"
"6.8k","R3","R0603","C23212"
"Jumper-Pad-Pad","R4","PAD-0805-PAD","C17477"
"10k","R5","R0805","C17414"
"0","R6","R0603","C21189"
"10k","R7","R0805","C17414"
"10k","R8","R0805","C17414"
"4.7k","R9","R0603","C23162"
"4.7k","R10","R0603","C23162"
"4.7k","R11","R0603","C23162"
"4.7k","R12","R0603","C23162"
"4.7k","R13","R0603","C23162"
"4.7k","R14","R0603","C23162"
"4.7k","R15","R0603","C23162"
"4.7k","R16","R0603","C23162"
"0","R20","R0603","C21189"
"0","R21","R0603","C21189"
"0","R22","R0603","C21189"
"0","R26","R0603","C21189"
"0","R27","R0603","C21189"
"0","R28","R0603","C21189"
"4.7k","R29","R0603","C23162"
"4.7k","R30","R0603","C23162"
"4.7k","R31","R0603","C23162"
"4.7k","R32","R0603","C23162"
"4.7k","R33","R0603","C23162"
"4.7k","R34","R0603","C23162"
"Conn_02x20_Counter_Clockwise","SAGSOKET1","PinHeader_2x20_P2.54mm_Vertical","C19630948"
"Conn_02x20_Counter_Clockwise","SOLSOKET1","PinHeader_2x20_P2.54mm_Vertical","C19630948"
"TLE9201SG","U1","Infineon_PG-DSO-12-11","C112633"
"TLE9201SG","U2","Infineon_PG-DSO-12-11","C112633"
"MAX31855KASA","U4","SO8","C52028"
"VNLD5160TR-E","U6","SO8","C377942"
"VNLD5160TR-E","U7","SO8","C377942"
"VNLD5160TR-E","U8","SO8","C377942"
"VNLD5160TR-E","U9","SO8","C377942"
"VNLD5160TR-E","U10","SO8","C377942"
"VNLD5160TR-E","U11","SO8","C377942"
"Conn_01x04_Pin","USB1","JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","C265289"
